truth_type_p1,truth_type_p2,player,EU_truth,max_regret,best_dev_type
58,47,1,471.73,0.0,-1
58,47,2,4727.315,0.0,-1
63,86,1,4719.82,0.0,-1
63,86,2,546.32,0.0,-1
6,15,1,4717.12,0.0,-1
6,15,2,47272.97,0.0,-1
39,30,1,47127.82,0.0,-1
39,30,2,477.47,0.0,-1
77,60,1,957.82,0.0,-1
77,60,2,56.72,0.0,-1
73,77,1,957.82,0.0,-1
73,77,2,1012.97,0.0,-1
61,46,1,521.32,0.0,-1
61,46,2,473.15,0.0,-1
46,1,1,471.73,0.0,-1
46,1,2,5197.97,0.0,-1
72,32,1,100.12,0.0,-1
72,32,2,5.69,0.0,-1
54,34,1,4717.12,0.0,-1
54,34,2,47.765,0.0,-1
88,54,1,100.12,0.0,-1
88,54,2,4731.32,0.0,-1
33,14,1,52.15,0.0,-1
33,14,2,4731.32,0.0,-1
76,60,1,100.12,0.0,-1
76,60,2,56.72,0.0,-1
21,13,1,514.3,0.0,-1
21,13,2,5197.97,0.0,-1
42,81,1,4717.12,0.0,-1
42,81,2,101.315,0.0,-1
21,21,1,514.3,0.0,-1
21,21,2,519.815,0.0,-1
14,41,1,4717.12,0.0,-1
14,41,2,5197.97,0.0,-1
93,87,1,95.8,0.0,-1
93,87,2,5422.97,0.0,-1
38,0,1,4717.12,0.0,-1
38,0,2,523.82,0.0,-1
80,85,1,10.03,0.0,-1
80,85,2,1012.97,0.0,-1
106,105,1,5.8,0.0,-1
106,105,2,10.865,0.0,-1
91,33,1,5277.82,0.0,-1
91,33,2,52.715,0.0,-1
22,31,1,471.73,0.0,-1
22,31,2,4734.47,0.0,-1
47,5,1,4712.8,0.0,-1
47,5,2,5197.97,0.0,-1
14,106,1,4717.12,0.0,-1
14,106,2,5.915,0.0,-1
11,20,1,4712.8,0.0,-1
11,20,2,52.4,0.0,-1
103,82,1,534.82,0.0,-1
103,82,2,54.65,0.0,-1
50,9,1,4717.12,0.0,-1
50,9,2,519.815,0.0,-1
71,67,1,472.0,0.0,-1
71,67,2,4734.47,0.0,-1
84,99,1,100.12,0.0,-1
84,99,2,549.47,0.0,-1
15,29,1,47127.82,0.0,-1
15,29,2,526.97,0.0,-1
53,72,1,5142.82,0.0,-1
53,72,2,105.32,0.0,-1
65,93,1,521.32,0.0,-1
65,93,2,101.315,0.0,-1
47,104,1,4712.8,0.0,-1
47,104,2,1.505,0.0,-1
92,72,1,10.03,0.0,-1
92,72,2,105.32,0.0,-1
97,16,1,102.82,0.0,-1
97,16,2,523.82,0.0,-1
31,2,1,4719.82,0.0,-1
31,2,2,4731.32,0.0,-1
83,88,1,527.8,0.0,-1
83,88,2,105.32,0.0,-1
72,39,1,100.12,0.0,-1
72,39,2,47272.97,0.0,-1
67,17,1,4719.82,0.0,-1
67,17,2,5197.97,0.0,-1
79,9,1,5277.82,0.0,-1
79,9,2,519.815,0.0,-1
39,55,1,47127.82,0.0,-1
39,55,2,47272.97,0.0,-1
9,48,1,514.3,0.0,-1
9,48,2,523.82,0.0,-1
83,25,1,527.8,0.0,-1
83,25,2,526.97,0.0,-1
2,14,1,4717.12,0.0,-1
2,14,2,4731.32,0.0,-1
14,16,1,4717.12,0.0,-1
14,16,2,523.82,0.0,-1
60,54,1,56.47,0.0,-1
60,54,2,4731.32,0.0,-1
107,80,1,53.5,0.0,-1
107,80,2,10.55,0.0,-1
101,39,1,102.82,0.0,-1
101,39,2,47272.97,0.0,-1
