truth_type_p1,truth_type_p2,player,dev_type,EU_truth,EU_dev,regret
18,100,2,40,13.555,13.655,0.09999999999999964
18,100,2,41,13.555,13.655,0.09999999999999964
18,100,2,42,13.555,13.655,0.09999999999999964
18,100,2,43,13.555,13.655,0.09999999999999964
18,100,2,52,13.555,13.655,0.09999999999999964
18,100,2,53,13.555,13.655,0.09999999999999964
18,100,2,54,13.555,13.655,0.09999999999999964
18,100,2,55,13.555,13.655,0.09999999999999964
18,100,2,64,13.555,13.655,0.09999999999999964
18,100,2,65,13.555,13.655,0.09999999999999964
18,100,2,66,13.555,13.655,0.09999999999999964
18,100,2,67,13.555,13.655,0.09999999999999964
100,17,1,40,13.865,13.915,0.049999999999998934
100,17,1,41,13.865,13.915,0.049999999999998934
100,17,1,42,13.865,13.915,0.049999999999998934
100,17,1,43,13.865,13.915,0.049999999999998934
100,17,1,52,13.865,13.915,0.049999999999998934
100,17,1,53,13.865,13.915,0.049999999999998934
100,17,1,54,13.865,13.915,0.049999999999998934
100,17,1,55,13.865,13.915,0.049999999999998934
100,17,1,64,13.865,13.915,0.049999999999998934
100,17,1,65,13.865,13.915,0.049999999999998934
100,17,1,66,13.865,13.915,0.049999999999998934
100,17,1,67,13.865,13.915,0.049999999999998934
