id,machine_bias,time_groups,ranking,flat_rank
1,A>B|A>B|A>B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
2,A>B|A>B|A>B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
3,A>B|A>B|A>B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
4,A>B|A>B|A>B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
5,A>B|A>B|A=B,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
6,A>B|A>B|A=B,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
7,A>B|A>B|A=B,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
8,A>B|A>B|A=B,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('A', 3), ('B', 3)]]","A1,B1,A2,B2,A3,B3"
9,A>B|A>B|B>A,"[[1], [2], [3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
10,A>B|A>B|B>A,"[[1], [2, 3]]","[[('A', 1), ('B', 1)], [('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
11,A>B|A>B|B>A,"[[1, 2], [3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2)], [('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
12,A>B|A>B|B>A,"[[1, 2, 3]]","[[('A', 1), ('B', 1), ('A', 2), ('B', 2), ('B', 3), ('A', 3)]]","A1,B1,A2,B2,B3,A3"
